FEINumber,LegalName,AddressLine1,AddressLine2,City,StateCode,State,ZipCode,CountryCode,CountryName,Region,ActionType,ActionTakenDate,FiscalYear,CaseInjunctionID,FirmProfile,WarningLetterLink
2129143,Bay View Packing Company,1906 W Saint Paul Ave,unavailable,Milwaukee,WI,Wisconsin,53233-2634,US,United States,Domestic,Warning Letter,2012-11-01,2013,372678,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2129143,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2129143"
3008089321,Ritters Fish Market LLC,30891 State Hwy 27,unavailable,Prairie Du Chien,WI,Wisconsin,53821-8707,US,United States,Domestic,Warning Letter,2012-11-01,2013,366818,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3008089321,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3008089321"
11592,Hijos De Carlos Albo S. L.,"Zona Le-5, Parcelas 3 Plataforma Industrial Pilsan 4 5",unavailable,Salvaterra Do Mino,unavailable,unavailable,unavailable,ES,Spain,Foreign,Warning Letter,2012-06-05,2012,292957,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=11592,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=11592"
12960,"Hsien-Pin Frozen Foods Co., Ltd.",21 Zyquiang Rd.,unavailable,Su-Ao Township,unavailable,unavailable,unavailable,TW,Taiwan,Foreign,Warning Letter,2016-01-14,2016,486186,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=12960,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=12960"
13001,Grant's Smokehouse Ltd.,Site 14 Solway Trading Estate,unavailable,Maryport,unavailable,unavailable,unavailable,GB,United Kingdom,Foreign,Warning Letter,2013-07-08,2013,398456,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=13001,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=13001"
1010345,"C & S Wholesale Services, Inc.",3300 Nw 123rd St,unavailable,Miami,FL,Florida,33167-2425,US,United States,Domestic,Warning Letter,2012-02-17,2012,279898,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1010345,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1010345"
3004664372,"Nu Garden, LLC",1015 Dea Ln Unit D,unavailable,Taos,NM,New Mexico,87571-6728,US,United States,Domestic,Warning Letter,2012-02-17,2012,288159,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004664372,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004664372"
3004623104,"Protica, Inc.",1002 Macarthur Rd,unavailable,Whitehall,PA,Pennsylvania,18052-7098,US,United States,Domestic,Warning Letter,2012-02-17,2012,239374,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004623104,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004623104"
3011097096,Blume Organics Boutique and Cafe,300 Willow Bend Rd,unavailable,Peachtree City,GA,Georgia,30269-3349,US,United States,Domestic,Warning Letter,2018-05-17,2018,543786,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3011097096,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3011097096"
1011345,Orangeburg Pecan Company Inc,761 Russell St,unavailable,Orangeburg,SC,South Carolina,29115-5819,US,United States,Domestic,Warning Letter,2018-05-17,2018,544396,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1011345,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/orangeburg-pecan-company-inc-544396-05172018
1013204,Dixie Mills LLC,130 2nd St W,unavailable,Tifton,GA,Georgia,31794-4366,US,United States,Domestic,Warning Letter,2011-03-22,2011,163052,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1013204,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1013204"
2000044801,Montes Tortilla Factory,7536 N Fm 88,unavailable,Weslaco,TX,Texas,78599-4263,US,United States,Domestic,Warning Letter,2017-11-14,2018,541060,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2000044801,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/montes-tortilla-factory-541060-11142017
3003689916,Mannatech Incorporated,1410 Lakeside Pkwy Ste 200,unavailable,Flower Mound,TX,Texas,75028-4099,US,United States,Domestic,Warning Letter,2017-11-14,2018,521321,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003689916,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mannatech-incorporated-521321-11142017
1014259,B & H Foods Inc,2122 Thrift Rd,unavailable,Charlotte,NC,North Carolina,28208-4449,US,United States,Domestic,Warning Letter,2017-11-14,2018,528472,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1014259,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1014259"
1014317,Greenwood Ice Cream,4829 Peachtree Rd,unavailable,Chamblee,GA,Georgia,30341-3113,US,United States,Domestic,Warning Letter,2021-12-17,2022,616395,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1014317,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1014317"
3013178862,Naturefield Company Limited,Galina St. Mary,unavailable,Kingston,unavailable,unavailable,unavailable,JM,Jamaica,Foreign,Warning Letter,2017-11-16,2018,538557,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3013178862,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/naturefield-company-limited-538557-11162017
3007231340,Thang Loi Frozen Food Enterprise,"Lot 4-6-8, 1a St. Tan Tao Industrial Park","Tan Tao A Ward, Binh Tan Districtcity",Ho Chi Minh,unavailable,unavailable,unavailable,VN,Vietnam,Foreign,Warning Letter,2017-11-16,2018,538850,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3007231340,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3007231340"
3004322341,U.L. Manufacturing Company Ltd.,"Dovecot Park, St. Johns Road",P.O.,Spanish Town 1,unavailable,unavailable,unavailable,JM,Jamaica,Foreign,Warning Letter,2017-11-16,2018,539712,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004322341,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ul-manufacturing-company-ltd-539712-11162017
1000116068,"Dakota Pure Water, Inc.",3431 4th Ave S Ste B,unavailable,Fargo,ND,North Dakota,58103-2227,US,United States,Domestic,Warning Letter,2011-08-29,2011,202134,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1000116068,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1000116068"
3005318581,Lupa Gourmet Inc.,657 37th St,unavailable,Union City,NJ,New Jersey,07087-2514,US,United States,Domestic,Warning Letter,2016-03-21,2016,492718,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3005318581,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3005318581"
1018460,Lakewood Organics LLC,1035 Nw 21st Ter,unavailable,Miami,FL,Florida,33127-4517,US,United States,Domestic,Warning Letter,2010-07-09,2010,99126,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1018460,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1018460"
3008485725,"Salud Natural Entrepreneur, Inc.",1120 Glen Rock Ave,unavailable,Waukegan,IL,Illinois,60085-5458,US,United States,Domestic,Injunction,2022-03-07,2022,344,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3008485725,
3013440698,Selamta LLC,735 Park North Blvd Ste 104,unavailable,Clarkston,GA,Georgia,30021-1971,US,United States,Domestic,Warning Letter,2022-03-07,2022,613486,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3013440698,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3013440698"
1219733,"BAKE'N JOY FOODS, INC.",351 Willow St,unavailable,North Andover,MA,Massachusetts,01845-5921,US,United States,Domestic,Warning Letter,2020-10-29,2021,608975,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1219733,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/baken-joy-foods-inc-608975-10292020
3010486704,JC Ayur Life LLC,17352 Yorkshire Ave,unavailable,Yorba Linda,CA,California,92886-3850,US,United States,Domestic,Warning Letter,2020-10-29,2021,609701,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3010486704,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/jc-ayur-life-llc-609701-10292020
3015595392,NATURAL SPROUT CO LLC,14550 State Highway B,unavailable,Marshfield,MO,Missouri,65706-9045,US,United States,Domestic,Warning Letter,2020-10-29,2021,610151,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3015595392,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/natural-sprout-co-llc-610151-10292020
3012344714,Ida Foods Llc,725 Arizona Ave Ste 200,unavailable,Santa Monica,CA,California,90401-1713,US,United States,Domestic,Warning Letter,2020-10-29,2021,610356,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3012344714,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ida-foods-llc-610356-10292020
1018581,Ventura Foods LLC,3900 Vanderbilt Rd,unavailable,Birmingham,AL,Alabama,35217-4159,US,United States,Domestic,Warning Letter,2020-10-29,2021,609201,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1018581,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1018581"
1018829,"MS Fruit & Vegetable Co., LLC",364 Sunset Loop,unavailable,Grenada,MS,Mississippi,38901-4517,US,United States,Domestic,Warning Letter,2017-08-10,2017,520207,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1018829,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1018829"
3000210949,"C K Solutions, Inc.",981 North Main,unavailable,Thayne,WY,Wyoming,83127-1462,US,United States,Domestic,Warning Letter,2017-08-10,2017,528543,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3000210949,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/c-k-solutions-inc-528543-08102017
2112520,"Natural American Foods, LLC",515 Cannon Industrial Blvd W,unavailable,Cannon Falls,MN,Minnesota,55009-1177,US,United States,Domestic,Warning Letter,2013-06-24,2013,385499,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2112520,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2112520"
1019806,"Clark Seafood Co, Inc",13811 Old Pascagoula Rd,unavailable,Grand Bay,AL,Alabama,36541-4019,US,United States,Domestic,Warning Letter,2013-06-24,2013,406312,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1019806,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1019806"
3012107499,"Absonutrix, LLC",317 S Westgate Dr Ste L,unavailable,Greensboro,NC,North Carolina,27407-1633,US,United States,Domestic,Warning Letter,2017-07-25,2017,508557,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3012107499,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3012107499"
3003946450,"Shah Distributors, Inc.",6260 Chalet Dr,unavailable,Commerce,CA,California,90040-3760,US,United States,Domestic,Warning Letter,2010-07-15,2010,101445,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003946450,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003946450"
1020087,"Knotts Wholesale Foods, Inc.",125 N Blakemore St,unavailable,Paris,TN,Tennessee,38242-4283,US,United States,Domestic,Warning Letter,2010-07-15,2010,104147,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1020087,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1020087"
3012421712,Russian Products  Inc.,140 35th St,unavailable,Brooklyn,NY,New York,11232-2308,US,United States,Domestic,Warning Letter,2014-03-07,2014,422312,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3012421712,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3012421712"
3006469854,"Gourmet Cuisine, Inc.",214 S Town East Blvd,unavailable,Mesquite,TX,Texas,75149-2810,US,United States,Domestic,Warning Letter,2009-07-17,2009,61123,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3006469854,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3006469854"
1021607,J.M. Smucker LLC,767 Winchester Rd,unavailable,Lexington,KY,Kentucky,40505-3728,US,United States,Domestic,Warning Letter,2023-01-24,2023,638042,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1021607,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/jm-smucker-llc-638042-01242023
1000159141,American Cruise Lines Inc dba American Heritage,741 Boston Post Rd Ste 200,unavailable,Guilford,CT,Connecticut,06437-2743,US,United States,Domestic,Warning Letter,2023-01-24,2023,641736,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1000159141,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1000159141"
3016965795,"American Cruise Lines, Inc. dba American Star",741 Boston Post Rd Ste 200,unavailable,Guilford,CT,Connecticut,06437-2743,US,United States,Domestic,Warning Letter,2023-01-24,2023,641736,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3016965795,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3016965795"
1022119,Papas Candies LLC,921 Baker St,unavailable,Covington,KY,Kentucky,41011-2007,US,United States,Domestic,Warning Letter,2015-10-20,2016,456719,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022119,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022119"
3010602054,GMI Trading LLC,125 Helen St,unavailable,South Plainfield,NJ,New Jersey,07080-3806,US,United States,Domestic,Warning Letter,2015-10-20,2016,457405,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3010602054,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3010602054"
1222051,"Rome Packing Co., Inc.",2266 Pawtucket Ave,unavailable,E Providence,RI,Rhode Island,02914-1710,US,United States,Domestic,Seizure,2015-10-20,2016,471167,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1222051,
3004326340,FLECHARD S.A.S.,Laiterie Du Pont Morin,unavailable,Zi La Chapelle D' Andaine,unavailable,unavailable,unavailable,FR,France,Foreign,Warning Letter,2015-10-20,2016,472109,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004326340,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004326340"
3003128249,Nutritional Engineering Inc,113 W Mariposa,unavailable,San Clemente,CA,California,92672-4616,US,United States,Domestic,Warning Letter,2017-09-29,2017,527965,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003128249,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nutritional-engineering-inc-527965-09292017
1022577,Bush Brothers & Company,3304 Bush Brothers Way,unavailable,Dandridge,TN,Tennessee,37725-2039,US,United States,Domestic,Warning Letter,2017-09-29,2017,535494,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022577,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022577"
1022617,"Great American Deli, LLC",5828 Main St,unavailable,Ooltewah,TN,Tennessee,37363-8714,US,United States,Domestic,Warning Letter,2011-07-22,2011,182054,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022617,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022617"
2181645,"Bagels Forever, Inc.",2947 University Ave,unavailable,Madison,WI,Wisconsin,53705-3521,US,United States,Domestic,Warning Letter,2011-07-22,2011,185632,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2181645,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2181645"
1022713,ConAgra Brands Inc,540 E Broadway,unavailable,Newport,TN,Tennessee,37821-3212,US,United States,Domestic,Warning Letter,2013-09-20,2013,407561,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022713,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022713"
3006526814,Fomar Import/Export Inc.,220 S Loara St,unavailable,Anaheim,CA,California,92802-1020,US,United States,Domestic,Warning Letter,2013-09-20,2013,411382,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3006526814,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3006526814"
1022754,Bedford Cheese Store Inc,111 Deery St,unavailable,Shelbyville,TN,Tennessee,37160-4023,US,United States,Domestic,Seizure,2011-02-23,2011,158373,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022754,
1824613,Sunrise Orchards Inc,19498 County Road 38,unavailable,Goshen,IN,Indiana,46526-9135,US,United States,Domestic,Warning Letter,2011-02-23,2011,145092,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1824613,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1824613"
3002626797,Sea Express Inc.,5902 55th St,unavailable,Maspeth,NY,New York,11378-3104,US,United States,Domestic,Warning Letter,2011-02-23,2011,155572,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3002626797,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3002626797"
1022922,Dutch Maid Bakery,111 Main St,unavailable,Tracy City,TN,Tennessee,37387-4018,US,United States,Domestic,Warning Letter,2013-12-11,2014,415443,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022922,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022922"
2024825,"Mayor Pharmaceutical Laboratories, Inc",3015 S 48th St Ste 101,unavailable,Tempe,AZ,Arizona,85282-3137,US,United States,Domestic,Warning Letter,2013-12-11,2014,347661,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2024825,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2024825"
1483739,"Czimer's Game & Seafood, Inc.",13136 W 159th St,unavailable,Homer Glen,IL,Illinois,60491-8768,US,United States,Domestic,Warning Letter,2011-02-04,2011,146553,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1483739,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1483739"
1419243,Juice Tyme Inc.,4401 S Oakley Ave,unavailable,Chicago,IL,Illinois,60609-3020,US,United States,Domestic,Warning Letter,2011-02-04,2011,139871,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1419243,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1419243"
3008523149,Limpia Arteria,2932 East 194th Street,unavailable,Bronx,NY,New York,10461-3913,US,United States,Domestic,Warning Letter,2011-02-04,2011,131550,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3008523149,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3008523149"
3007567180,KJPL RESTAURANTS INC,682 Route 202,unavailable,Greene,ME,Maine,04236,US,United States,Domestic,Warning Letter,2011-02-04,2011,154113,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3007567180,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3007567180"
3017028880,"Sage Woman Herbs, Ltd. dba Sage Consulting & Apothecary",2727 N Tejon St,unavailable,Colorado Springs,CO,Colorado,80907-6231,US,United States,Domestic,Warning Letter,2020-11-10,2021,608906,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3017028880,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3017028880"
1026068,"Kellogg USA, Inc/Kellogg Company-Frozen Foods (Eggo)",5601 Bucknell Dr Sw,unavailable,Atlanta,GA,Georgia,30336-2509,US,United States,Domestic,Warning Letter,2010-01-27,2010,87384,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1026068,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1026068"
1026729,Sweet Sinsations Inc,6221 Snider Rd,unavailable,Mason,OH,Ohio,45040-2643,US,United States,Domestic,Warning Letter,2011-10-13,2012,207773,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1026729,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1026729"
1461102,True World Foods Chicago LLC,950 Chase Ave,unavailable,Elk Grove Village,IL,Illinois,60007-4828,US,United States,Domestic,Warning Letter,2011-10-13,2012,201572,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1461102,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1461102"
2939745,Urban Leaf Co.,100 West Valpico Road,Suite A,Tracy,CA,California,95376-8198,US,United States,Domestic,Warning Letter,2011-10-13,2012,219655,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2939745,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2939745"
1519933,Schindler's Broad Run Cheese House Inc,6011 Old Route 39 Nw,unavailable,Dover,OH,Ohio,44622-7788,US,United States,Domestic,Warning Letter,2011-04-13,2011,158892,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1519933,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1519933"
3024741,Happy Crab Seafood Inc,2601 N Newark St,unavailable,Portland,OR,Oregon,97217-6925,US,United States,Domestic,Warning Letter,2011-04-13,2011,168992,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3024741,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3024741"
1028739,"Delta Air Lines, Inc.",1775 Mh Jackson Service Rd,unavailable,Atlanta,GA,Georgia,30354-3743,US,United States,Domestic,Warning Letter,2011-04-13,2011,166974,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1028739,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1028739"
3004276943,"Star Food Products, Inc",2853 Executive Park Dr Ste 105,unavailable,Weston,FL,Florida,33331-3656,US,United States,Domestic,Warning Letter,2011-04-13,2011,169312,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004276943,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004276943"
