FEINumber,LegalName,AddressLine1,AddressLine2,City,StateCode,State,ZipCode,CountryCode,CountryName,Region,ProductType,Center,ActionType,ActionTakenDate,FiscalYear,CaseInjunctionID,FirmProfile
3013440698,Selamta LLC,735 Park North Blvd Ste 104,,Clarkston,GA,Georgia,30021-1971,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2022-03-07,2022,613486,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3013440698
1219733,"BAKE'N JOY FOODS, INC.",351 Willow St,,North Andover,MA,Massachusetts,01845-5921,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-29,2021,608975,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1219733
3010486704,JC Ayur Life LLC,17352 Yorkshire Ave,,Yorba Linda,CA,California,92886-3850,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-29,2021,609701,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3010486704
3015595392,NATURAL SPROUT CO LLC,14550 State Highway B,,Marshfield,MO,Missouri,65706-9045,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-29,2021,610151,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3015595392
3012344714,Ida Foods Llc,725 Arizona Ave Ste 200,,Santa Monica,CA,California,90401-1713,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-29,2021,610356,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3012344714
1018581,Ventura Foods LLC,3900 Vanderbilt Rd,,Birmingham,AL,Alabama,35217-4159,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-29,2021,609201,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1018581
1018829,"MS Fruit & Vegetable Co., LLC",364 Sunset Loop,,Grenada,MS,Mississippi,38901-4517,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2017-08-10,2017,520207,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1018829
3000210949,"C K Solutions, Inc.",981 North Main,,Thayne,WY,Wyoming,83127-1462,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2017-08-10,2017,528543,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3000210949
2112520,"Natural American Foods, LLC",515 Cannon Industrial Blvd W,,Cannon Falls,MN,Minnesota,55009-1177,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2013-06-24,2013,385499,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2112520
1019806,"Clark Seafood Co, Inc",13811 Old Pascagoula Rd,,Grand Bay,AL,Alabama,36541-4019,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2013-06-24,2013,406312,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1019806
3012107499,"Absonutrix, LLC",317 S Westgate Dr Ste L,,Greensboro,NC,North Carolina,27407-1633,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2017-07-25,2017,508557,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3012107499
3003946450,"Shah Distributors, Inc.",6260 Chalet Dr,,Commerce,CA,California,90040-3760,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2010-07-15,2010,101445,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003946450
1020087,"Knotts Wholesale Foods, Inc.",125 N Blakemore St,,Paris,TN,Tennessee,38242-4283,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2010-07-15,2010,104147,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1020087
3012421712,Russian Products  Inc.,140 35th St,,Brooklyn,NY,New York,11232-2308,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2014-03-07,2014,422312,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3012421712
3006469854,"Gourmet Cuisine, Inc.",214 S Town East Blvd,,Mesquite,TX,Texas,75149-2810,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2009-07-17,2009,61123,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3006469854
1021607,J.M. Smucker LLC,767 Winchester Rd,,Lexington,KY,Kentucky,40505-3728,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2023-01-24,2023,638042,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1021607
1000159141,American Cruise Lines Inc dba American Heritage,741 Boston Post Rd Ste 200,,Guilford,CT,Connecticut,06437-2743,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2023-01-24,2023,641736,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1000159141
3016965795,"American Cruise Lines, Inc. dba American Star",741 Boston Post Rd Ste 200,,Guilford,CT,Connecticut,06437-2743,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2023-01-24,2023,641736,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3016965795
1022119,Papas Candies LLC,921 Baker St,,Covington,KY,Kentucky,41011-2007,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2015-10-20,2016,456719,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022119
3010602054,GMI Trading LLC,125 Helen St,,South Plainfield,NJ,New Jersey,07080-3806,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2015-10-20,2016,457405,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3010602054
1222051,"Rome Packing Co., Inc.",2266 Pawtucket Ave,,E Providence,RI,Rhode Island,02914-1710,US,United States,Domestic,Food/Cosmetics,CFSAN,Seizure,2015-10-20,2016,471167,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1222051
3004326340,FLECHARD S.A.S.,Laiterie Du Pont Morin,,Zi La Chapelle D' Andaine,,,,FR,France,Foreign,Food/Cosmetics,CFSAN,Warning Letter,2015-10-20,2016,472109,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004326340
3003128249,Nutritional Engineering Inc,113 W Mariposa,,San Clemente,CA,California,92672-4616,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2017-09-29,2017,527965,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003128249
1022577,Bush Brothers & Company,3304 Bush Brothers Way,,Dandridge,TN,Tennessee,37725-2039,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2017-09-29,2017,535494,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022577
1022617,"Great American Deli, LLC",5828 Main St,,Ooltewah,TN,Tennessee,37363-8714,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-07-22,2011,182054,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022617
2181645,"Bagels Forever, Inc.",2947 University Ave,,Madison,WI,Wisconsin,53705-3521,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-07-22,2011,185632,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2181645
1022713,ConAgra Brands Inc,540 E Broadway,,Newport,TN,Tennessee,37821-3212,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2013-09-20,2013,407561,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022713
3006526814,Fomar Import/Export Inc.,220 S Loara St,,Anaheim,CA,California,92802-1020,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2013-09-20,2013,411382,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3006526814
1022754,Bedford Cheese Store Inc,111 Deery St,,Shelbyville,TN,Tennessee,37160-4023,US,United States,Domestic,Food/Cosmetics,CFSAN,Seizure,2011-02-23,2011,158373,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022754
1824613,Sunrise Orchards Inc,19498 County Road 38,,Goshen,IN,Indiana,46526-9135,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-02-23,2011,145092,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1824613
3002626797,Sea Express Inc.,5902 55th St,,Maspeth,NY,New York,11378-3104,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-02-23,2011,155572,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3002626797
1022922,Dutch Maid Bakery,111 Main St,,Tracy City,TN,Tennessee,37387-4018,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2013-12-11,2014,415443,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1022922
2024825,"Mayor Pharmaceutical Laboratories, Inc",3015 S 48th St Ste 101,,Tempe,AZ,Arizona,85282-3137,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2013-12-11,2014,347661,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2024825
1483739,"Czimer's Game & Seafood, Inc.",13136 W 159th St,,Homer Glen,IL,Illinois,60491-8768,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-02-04,2011,146553,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1483739
1419243,Juice Tyme Inc.,4401 S Oakley Ave,,Chicago,IL,Illinois,60609-3020,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-02-04,2011,139871,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1419243
3008523149,Limpia Arteria,2932 East 194th Street,,Bronx,NY,New York,10461-3913,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-02-04,2011,131550,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3008523149
3007567180,KJPL RESTAURANTS INC,682 Route 202,,Greene,ME,Maine,04236,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-02-04,2011,154113,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3007567180
3017028880,"Sage Woman Herbs, Ltd. dba Sage Consulting & Apothecary",2727 N Tejon St,,Colorado Springs,CO,Colorado,80907-6231,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-11-10,2021,608906,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3017028880
1026068,"Kellogg USA, Inc/Kellogg Company-Frozen Foods (Eggo)",5601 Bucknell Dr Sw,,Atlanta,GA,Georgia,30336-2509,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2010-01-27,2010,87384,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1026068
1026729,Sweet Sinsations Inc,6221 Snider Rd,,Mason,OH,Ohio,45040-2643,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-10-13,2012,207773,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1026729
1461102,True World Foods Chicago LLC,950 Chase Ave,,Elk Grove Village,IL,Illinois,60007-4828,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-10-13,2012,201572,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1461102
2939745,Urban Leaf Co.,100 West Valpico Road,Suite A,Tracy,CA,California,95376-8198,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-10-13,2012,219655,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2939745
1519933,Schindler's Broad Run Cheese House Inc,6011 Old Route 39 Nw,,Dover,OH,Ohio,44622-7788,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-04-13,2011,158892,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1519933
3024741,Happy Crab Seafood Inc,2601 N Newark St,,Portland,OR,Oregon,97217-6925,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-04-13,2011,168992,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3024741
1028739,"Delta Air Lines, Inc.",1775 Mh Jackson Service Rd,,Atlanta,GA,Georgia,30354-3743,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-04-13,2011,166974,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1028739
3004276943,"Star Food Products, Inc",2853 Executive Park Dr Ste 105,,Weston,FL,Florida,33331-3656,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-04-13,2011,169312,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004276943
3003201560,Hocean Food Corporation,1417 N Main St,,Los Angeles,CA,California,90012-1914,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-04-13,2011,154193,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003201560
1029788,H & H Products Company,6600 Magnolia Homes Rd,,Orlando,FL,Florida,32810-4267,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2009-05-22,2009,55502,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1029788
1029788,H & H Products Company,6600 Magnolia Homes Rd,,Orlando,FL,Florida,32810-4267,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2018-11-15,2019,565614,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1029788
3001700954,"Atrium, Inc.",460 S Townline Rd,,Wautoma,WI,Wisconsin,54982-6922,US,United States,Domestic,Food/Cosmetics,CFSAN,Injunction,2015-08-04,2015,257,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3001700954
2519265,P&S Ravioli Company,2001 S 26th St,,Philadelphia,PA,Pennsylvania,19145-2523,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2015-08-04,2015,450126,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2519265
1030211,Frito Lay Inc,298 Industrial Blvd,,Pulaski,TN,Tennessee,38478-5220,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2015-08-04,2015,474556,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1030211
1030618,"Kwokcheng Enterprise, Inc. dba Fullei Fresh",400 Ne 67th St,,Miami,FL,Florida,33138-5645,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2019-10-22,2020,579900,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1030618
3012820423,"FVD Produce, LLC",2501 W Military Hwy Ste E19,,Mcallen,TX,Texas,78503-8953,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2023-08-17,2023,656431,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3012820423
2000015840,Noc Management Co Inc,475 Victory Ln,,Springboro,OH,Ohio,45066-3047,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2010-12-15,2011,140671,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2000015840
3004192309,"Abruzzino's Italian Bakery, LLC",6517 Shinnston Pike,,Gypsy,WV,West Virginia,26361,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2009-12-01,2010,81125,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004192309
1031847,Austin Fish Company,3711 S Croatan Hwy,,Nags Head,NC,North Carolina,27959,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2009-12-01,2010,81304,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1031847
1218779,"Village Cannery Of Vermont, Inc.",698 S Barre Rd,,Barre,VT,Vermont,05641-8108,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2009-12-01,2010,79584,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1218779
1033566,"Spicepak, Inc.",14855 SW 137th St Ste 103,,Miami,FL,Florida,33196-5606,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2012-03-19,2012,276416,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1033566
3003733535,Chung's and Son Company,4568 Beech Rd,,Temple Hills,MD,Maryland,20748-6704,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2012-03-19,2012,274400,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003733535
3003711521,"Sugar Bakers, Inc.",23 Mellor Ave,,Baltimore,MD,Maryland,21228-5106,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2012-03-19,2012,277378,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003711521
3026131604,Prollergy Corporation/Ready Set Food,15821 Ventura Blvd Ste 450,,Encino,CA,California,91436-4718,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-09,2021,606913,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3026131604
3017081500,Angstrom Minerals,315 N 400 W,,Fillmore,UT,Utah,84631-4025,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-09,2021,609178,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3017081500
3006646853,"WCS Trading, Inc.",2430 Mariondale Ave,,Los Angeles,CA,California,90032-3517,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-09,2021,610186,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3006646853
3013844296,ELEMENTAL RESEARCH INC,353 E Poleline Ave,,Post Falls,ID,Idaho,83854,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-09,2021,609178,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3013844296
3005295408,"Complete H2O Minerals, Inc.",1167 W 3050 S,,Ogden,UT,Utah,84401-3364,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-09,2021,608999,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3005295408
3005569890,Essense Of Life,13114 Us Highway 160,,Forsyth,MO,Missouri,65653-5150,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-09,2021,609001,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3005569890
3013943890,BEFORE BRANDS INC,1160 Chestnut St,,Menlo Park,CA,California,94025-4312,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-09,2021,607630,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3013943890
1033796,Daily Manufacturing Company,4820 Pless Rd,,Rockwell,NC,North Carolina,28138-8921,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-09,2021,609000,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1033796
3015691331,Prollergy Corporation,4154 Colbath Ave,,Sherman Oaks,CA,California,91423-4208,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-09,2021,606913,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3015691331
3008332301,American Nutriceuticals LLC,3720 E Mill Plain Blvd Apt 3,,Vancouver,WA,Washington,98661-5469,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2020-10-09,2021,608998,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3008332301
